grid search results

Top 86 | Acc: 0.8622 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 87 | Acc: 0.8617 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 88 | Acc: 0.8616 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 89 | Acc: 0.8614 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 90 | Acc: 0.8613 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 91 | Acc: 0.8612 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 92 | Acc: 0.8611 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 93 | Acc: 0.8611 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 94 | Acc: 0.8610 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 95 | Acc: 0.8605 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 96 | Acc: 0.8602 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 97 | Acc: 0.8597 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 98 | Acc: 0.8593 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 99 | Acc: 0.8593 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 100 | Acc: 0.8593 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 101 | Acc: 0.8592 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 102 | Acc: 0.8592 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
